token	activity	source	target	action	salt
002	0	0	1	enter	N/A
455354753305299	0	1	1	hint	002
125856070581408	0	1	0	move	002
052	0	0	2	enter	N/A
240070160009025	0	2	0	move	052
043	0	0	3	enter	N/A
103209978926115	0	3	3	hint	043
76118056186574	0	3	3	hint	043
81063761713588	0	3	3	hint	043
96800835160244	0	3	3	hint	043
103209978926087	0	3	0	move	043
010	0	0	4	enter	N/A
155147806452639	0	4	0	move	010
032	0	0	5	enter	N/A
1230160502988894	0	5	5	hint	032
1230160502992190	0	5	5	hint	032
1230160502988882	0	5	0	move	032
033	0	0	6	enter	N/A
298774613720463	0	6	0	move	033
081	0	0	7	enter	N/A
253352561534995	0	7	0	move	081
082	0	0	8	enter	N/A
156189361184507	0	8	8	hint	082
156596690231090	0	8	8	hint	082
156364735562291	0	8	0	move	082
062	0	0	9	enter	N/A
92857264956831	0	9	0	move	062
023	0	0	10	enter	N/A
14110344140782	0	10	10	hint	023
62621691563930	0	10	10	hint	023
5591408610389	0	10	0	move	023
024	0	0	11	enter	N/A
248960157567190	0	11	0	move	024
037	0	0	12	enter	N/A
374196928538196	0	12	12	hint	037
378179076514973	0	12	12	hint	037
437237875864615	0	12	12	hint	037
446356723589658	0	12	12	hint	037
836962415998811	0	12	12	hint	037
436819829846544	0	12	0	move	037
009	0	0	13	enter	N/A
253109520226675	0	13	13	hint	009
253352804744747	0	13	13	hint	009
253843891117135	0	13	13	hint	009
253974688626775	0	13	13	hint	009
254220120595727	0	13	13	hint	009
253600606633879	0	13	0	move	009
019	0	0	14	enter	N/A
148515034955604	0	14	14	hint	019
148611824478556	0	14	14	hint	019
148669601188638	0	14	14	hint	019
148879872816411	0	14	14	hint	019
149003955203329	0	14	14	hint	019
149210280710509	0	14	14	hint	019
149468789687598	0	14	14	hint	019
149114173335496	0	14	0	move	019
039	0	0	15	enter	N/A
1076677401390944	0	15	15	hint	039
165717715346964	0	15	15	hint	039
189105737194104	0	15	15	hint	039
198102760205823	0	15	15	hint	039
226313462278852	0	15	15	hint	039
237984121642486	0	15	15	hint	039
583015109991402	0	15	15	hint	039
243582352371835	0	15	0	move	039
088	0	0	16	enter	N/A
359590657654446	0	16	16	hint	088
359642314904307	0	16	16	hint	088
359749191076977	0	16	16	hint	088
359813838431707	0	16	16	hint	088
359943398969027	0	16	16	hint	088
360186567754554	0	16	16	hint	088
360247014033845	0	16	16	hint	088
360051049043076	0	16	0	move	088
078	0	0	17	enter	N/A
33460752933766	0	17	0	move	078
047	0	0	18	enter	N/A
393035298143192	0	18	0	move	047
